[SPRITES]
#ID	Left	Top	Right	Bottom	ID_TEXTURE
#JUMPING
100080101	10	21	39	57	10008
100080102	44	21	72	57	10008
100080103	77	21	102	57	10008
100080104	107	21	132	57	10008
100080105	137	21	162	57	10008
100080106	167	21	193	57	10008
100080107	198	21	225	57	10008
100080108	230	19	255	57	10008
100080109	260	20	288	57	10008
100080110	293	21	326	57	10008
100080111	331	23	367	56	10008
100080112	372	26	408	52	10008
					
#ATTACK
100080201	10	75	47	104	10008
100080202	52	76	89	104	10008
100080203	94	79	130	104	10008
100080204	135	79	172	104	10008
100080205	177	79	212	104	10008
100080206	217	79	252	105	10008
100080207	257	79	289	106	10008
100080208	294	79	327	105	10008
100080209	332	79	367	104	10008
100080210	372	79	407	104	10008
100080211	412	79	448	104	10008
100080212	453	77	490	104	10008
100080213	10	111	47	140	10008
100080214	52	112	89	140	10008
100080215	93	115	130	140	10008
100080216	135	115	172	140	10008
100080217	177	115	212	140	10008
100080218	217	115	252	141	10008
100080219	257	115	290	142	10008
100080220	295	115	328	141	10008
100080221	333	115	368	140	10008
100080222	373	115	408	140	10008
100080223	413	115	450	140	10008
100080224	454	113	491	140	10008				
					
#DEATH1
100080301	10	172	49	205	10008
100080302	54	171	94	207	10008
100080303	99	169	140	209	10008
100080304	145	162	193	210	10008
100080305	203	167	244	207	10008
100080306	253	163	297	210	10008
100080307	304	163	348	211	10008
100080308	356	160	397	214	10008
100080309	405	160	444	215	10008
100080310	454	160	490	211	10008
100080311	11	220	46	262	10008
100080312	54	220	87	261	10008
100080313	95	220	126	255	10008
100080314	134	224	163	255	10008
100080315	173	221	197	254	10008
100080316	207	234	231	254	10008
100080317	241	238	263	253	10008						

					
#EFFECT SPLASH
100080401	10	925	35	944	10008
100080402	40	899	68	938	10008
100080403	73	888	103	938	10008
100080404	108	876	138	938	10008
100080405	144	871	175	938	10008
100080406	182	869	210	938	10008
100080407	217	868	246	938	10008
100080408	251	868	281	938	10008
100080409	287	869	315	938	10008
100080410	325	870	350	938	10008
100080411	360	870	384	938	10008
100080412	395	874	420	938	10008
100080413	431	879	456	938	10008
100080414	461	876	493	938	10008
100080415	12	958	39	1013	10008
100080416	49	960	76	1013	10008
100080417	84	969	112	1014	10008
100080418	117	971	146	1014	10008
100080419	152	976	178	1014	10008
100080420	185	984	212	1012	10008
100080421	224	993	245	1012	10008
100080422	255	989	276	1011	10008
100080423	281	990	307	1011	10008
100080424	316	992	337	1012	10008
100080425	346	995	368	1011	10008
100080426	373	997	395	1013	10008
100080427	400	999	416	1010	10008
				


[ANIMATIONS]
#Ani_ID	Sprite_ID 1	Time	Sprite_ID 2	Time	…																																																	
#JUMPING
1000801	100080101	100	100080102	100	100080103	100	100080104	100	100080105	100	100080106	100	100080107	100	100080108	100	100080109	100	100080110	100	100080111	100	100080112	100
#ATTACK
1000802	100080201	100	100080202	100	100080203	100	100080204	100	100080205	100	100080206	100	100080207	100	100080208	100	100080209	100	100080210	100	100080211	100	100080212	100	100080213	100	100080214	100	100080215	100	100080216	100	100080217	100	100080218	100	100080219	100	100080220	100	100080221	100	100080222	100	100080223	100	100080224	100
#DEATH1
1000803	100080301	100	100080302	100	100080303	100	100080304	100	100080305	100	100080306	100	100080307	100	100080308	100	100080309	100	100080310	100	100080311	100	100080312	100	100080313	100	100080314	100	100080315	100	100080316	100	100080317	100
#EFFECT SPLASH
1000804	100080401	100	100080402	100	100080403	100	100080404	100	100080405	100	100080406	100	100080407	100	100080408	100	100080409	100	100080410	100	100080411	100	100080412	100	100080413	100	100080414	100	100080415	100	100080416	100	100080417	100	100080418	100	100080419	100	100080420	100	100080421	100	100080422	100	100080423	100	100080424	100	100080425	100	100080426	100	100080427	100
																																													
