[SPRITES]
#ID	Left	Top	Right	Bottom	ID_TEXTURE
#WALKING
100100101	11	11	33	34	10010
100100102	40	11	62	34	10010
100100103	70	12	92	35	10010
100100104	99	12	121	35	10010
100100105	130	13	154	35	10010
100100106	162	13	186	35	10010
100100107	194	13	218	35	10010
100100108	226	13	251	35	10010
100100109	260	13	285	35	10010
100100110	293	13	318	35	10010
100100111	326	13	351	35	10010
100100112	359	14	383	36	10010
100100113	11	48	35	72	10010
100100114	42	47	66	72	10010
100100115	73	46	95	69	10010
100100116	102	46	124	69	10010
100100117	131	46	153	69	10010
100100118	159	46	184	69	10010
100100119	189	47	217	69	10010
100100120	222	47	252	69	10010
100100121	256	47	280	69	10010
100100122	288	47	312	70	10010
100100123	320	45	345	70	10010
100100124	355	45	380	70	10010		
					
#DEATH1					
100100201	13	81	38	109	10010
100100202	47	88	72	110	10010
100100203	78	88	102	110	10010
100100204	109	88	133	110	10010
100100205	141	88	165	110	10010
100100206	172	88	196	110	10010
100100207	203	87	225	110	10010
100100208	232	88	254	111	10010
100100209	260	86	282	109	10010
100100210	292	86	314	109	10010
100100211	323	87	347	109	10010
100100212	13	128	35	151	10010
100100213	45	128	67	151	10010
100100214	77	127	100	151	10010
100100215	108	125	133	151	10010
100100216	138	124	167	153	10010
100100217	175	123	206	154	10010
100100218	213	122	245	154	10010
100100219	252	123	284	155	10010
100100220	292	123	321	155	10010
100100221	332	122	365	154	10010

[ANIMATIONS]
#Ani_ID	Sprite_ID 1	Time	Sprite_ID 2	Time	…																																																	
#WALKING
1001001	100100101	40	100100102	40	100100103	40	100100104	40	100100105	40	100100106	40	100100107	40	100100108	40	100100109	40	100100110	40	100100111	40	100100112	40	100100101	40	100100102	40	100100103	40	100100104	40	100100105	40	100100106	40	100100107	40	100100108	40	100100109	40	100100110	40	100100111	40	100100112	40	100100113	40	100100114	40	100100115	40	100100116	40	100100117	40	100100118	40	100100119	40	100100120	40	100100121	40	100100122	40	100100123	40	100100124	40																																																		
#DEATH1																																																						
1001002	100100201	40	100100202	40	100100203	40	100100204	40	100100205	40	100100206	40	100100207	40	100100208	40	100100209	40	100100210	40	100100211	40	100100212	40	100100213	40	100100214	40	100100215	40	100100216	40	100100217	40	100100218	40	100100219	40	100100220	40	100100221	40
