[SPRITES]
#ID	Left	Top	Right	Bottom	ID_TEXTURE
#IDLE					
100020101	16	69	120	150	10002
100020102	129	70	230	150	10002
100020103	252	69	350	148	10002
100020104	363	69	464	149	10002
100020105	478	71	580	150	10002
100020106	593	71	699	150	10002
100020107	711	71	815	150	10002
100020108	829	68	936	148	10002
100020109	946	69	1052	149	10002
100020110	1069	68	1176	149	10002
100020111	1186	68	1293	149	10002
100020112	1300	67	1407	148	10002	

					
#WALKING					
100020201	16	179	122	258	10002
100020202	131	181	235	260	10002
100020203	252	180	359	260	10002
100020204	370	180	476	260	10002
100020205	492	179	599	260	10002
100020206	605	179	712	260	10002
100020207	719	179	826	260	10002
100020208	834	179	938	260	10002
100020209	954	179	1055	259	10002
100020210	1069	179	1167	258	10002
100020211	1178	179	1279	258	10002
100020212	1293	179	1395	258	10002
					
#TURNING					
100020401	33	295	134	376	10002
					
#ATTACK NEAR					
100020501	29	862	133	942	10002
100020502	162	861	260	942	10002
100020503	288	862	376	942	10002
100020504	407	856	486	942	10002
100020505	513	830	589	942	10002
100020506	620	830	712	940	10002
100020507	730	850	859	941	10002
100020508	874	856	1010	941	10002
100020509	1022	856	1156	941	10002
100020510	1164	847	1280	941	10002
100020511	1301	837	1399	941	10002
100020512	56	960	142	1072	10002
100020513	190	954	294	1072	10002
100020514	319	958	443	1072	10002
100020515	470	995	605	1074	10002
100020516	617	995	745	1074	10002
100020517	771	993	899	1074	10002
100020518	917	995	1045	1072	10002
100020519	1067	993	1188	1072	10002
100020520	1218	992	1327	1072	10002
					
#ATTACK_FAR					
100020601	22	409	120	490	10002
100020602	148	410	236	490	10002
100020603	264	404	343	490	10002
100020604	374	402	450	490	10002
100020605	486	399	572	490	10002
					
#DEATH1					
100020801	62	1246	155	1328	10002
100020802	168	1244	263	1328	10002
100020803	278	1239	377	1328	10002
100020804	392	1238	492	1328	10002
100020805	512	1238	616	1328	10002
100020806	633	1241	739	1327	10002
100020807	756	1236	863	1327	10002
100020808	875	1233	984	1328	10002
100020809	999	1233	1112	1327	10002
100020810	1125	1231	1241	1326	10002
100020811	1257	1232	1374	1326	10002
100020812	61	1349	180	1441	10002
100020813	198	1352	317	1440	10002
100020814	332	1357	452	1441	10002
100020815	473	1391	593	1441	10002
100020816	605	1391	726	1441	10002
100020817	741	1391	863	1440	10002
100020818	870	1394	993	1439	10002
100020819	996	1396	1120	1439	10002
100020820	1123	1399	1247	1439	10002
100020821	1250	1402	1376	1439	10002
100020822	65	1459	191	1492	10002
100020823	194	1463	320	1492	10002
100020824	329	1467	455	1492	10002
100020825	458	1472	582	1492	10002
100020826	585	1476	707	1492	10002
100020827	710	1479	828	1492	10002
100020828	831	1482	945	1492	10002
100020829	948	1484	1058	1492	10002
100020830	1061	1486	1167	1491	10002
100020831	1170	1487	1270	1491	10002
100020832	1273	1487	1363	1491	10002
100020833	78	1514	155	1518	10002
100020834	158	1514	229	1518	10002
100020835	232	1514	295	1518	10002
100020836	298	1514	350	1518	10002
100020837	353	1514	395	1518	10002
100020838	398	1515	428	1518	10002
100020839	431	1515	451	1518	10002
100020840	454	1516	465	1518	10002
					
#EFFECT BUBBLE 1					
100020901	81	1579	97	1595	10002
100020902	100	1579	116	1595	10002
100020903	119	1579	135	1595	10002
100020904	138	1579	155	1595	10002
100020905	158	1579	175	1595	10002
100020906	178	1579	195	1595	10002
100020907	198	1579	215	1595	10002
100020908	218	1579	235	1595	10002
					
#EFFECT BUBBLE 2					
100021001	238	1579	254	1595	10002
100021002	257	1579	273	1595	10002
100021003	276	1579	295	1595	10002
100021004	298	1579	317	1595	10002
100021005	320	1579	344	1600	10002
100021006	350	1578	380	1601	10002
100021007	391	1579	423	1604	10002
100021008	431	1579	466	1604	10002
100021009	479	1579	515	1606	10002
100021010	521	1578	558	1607	10002
100021011	566	1578	599	1607	10002
100021012	615	1582	654	1610	10002
100021013	668	1582	707	1607	10002
					
#EFFECT HIT 					

					
#EFFECT DEATH					


[ANIMATIONS]
#Ani_ID	Sprite_ID 1	Time	Sprite_ID 2	Time	…																																																	
#IDLE																																																						
1000201	100020101	100	100020102	100	100020103	100	100020104	100	100020105	100	100020106	100	100020107	100	100020108	100	100020109	100	100020110	100	100020111	100	100020112	100
#WALKING																																																						
1000202	100020201	100	100020202	100	100020203	100	100020204	100	100020205	100	100020206	100	100020207	100	100020208	100	100020209	100	100020210	100	100020211	100	100020212	100
#TURNING																																																						
1000204	100020401	100
#ATTACK NEAR																																																						
1000205	100020501	100	100020502	100	100020503	100	100020504	100	100020505	100	100020506	100	100020507	100	100020508	100	100020509	100	100020510	100	100020511	100	100020512	100	100020513	100	100020514	100	100020515	100	100020516	100	100020517	100	100020518	100	100020519	100	100020520	100
#ATTACK FAR																																																						
1000206	100020601	100	100020602	100	100020603	100	100020604	100	100020605	100	100020604	100	100020603	100	100020602	100	100020601	100	100020101	100	100020102	100	100020103	100	100020104	100	100020105	100	100020106	100	100020107	100	100020108	100	100020109	100	100020110	100	100020111	100	100020112	100		
#DEATH1																																																						
1000208	100020801	100	100020802	100	100020803	100	100020804	100	100020805	100	100020806	100	100020807	100	100020808	100	100020809	100	100020810	100	100020811	100	100020812	100	100020813	100	100020814	100	100020815	100	100020816	100	100020817	100	100020818	100	100020819	100	100020820	100	100020821	100	100020822	100	100020823	100	100020824	100	100020825	100	100020826	100	100020827	100	100020828	100	100020829	100	100020830	100	100020831	100	100020832	100	100020833	100	100020834	100	100020835	100	100020836	100	100020837	100	100020838	100	100020839	100	100020840	100
#EFFECT BUBBLE 1																																																						
1000209	100020901	100	100020902	100	100020903	100	100020904	100	100020905	100	100020906	100	100020907	100	100020908	100
#EFFECT BUBBLE 2																																																						
1000210	100021001	100	100021002	100	100021003	100	100021004	100	100021005	100	100021006	100	100021007	100	100021008	100	100021009	100	100021010	100	100021011	100	100021012	100	100021013	100
